Comuna;Region;PctPobreza;RemunMedia;TasaNatalidad;TasaMortalidad;TasaMortalidadInfantil;PctDesnutridos;PctSobrePesoInfantil;PctObesidadInfantil
Galvarino;9;24,1;278544,75;15,10000038;6,273958683;13,76830006;4,668534279;29,22502327;10,92436981
Gorbea;9;31,6;369081,4063;12,60000038;5,631547928;6,989200115;2,453385592;20,80471039;9,911678314
Lautaro;9;29,1;380020,6563;16,29999924;6,049354076;9,545399666;1,532567024;27,37335014;12,77139187
Loncoche;9;11,8;389277,8438;12,69999981;5,801555634;10,71860027;2,785515308;27,07520866;11,0306406
Melipeuco;9;20,8;349612,2813;11,60000038;4,541565895;6,952499866;4,646017551;23,67256546;8,849557877
Nueva Imperial;9;24,3;353182,375;13,89999962;6,238325596;9,835000038;1,218662977;27,61141968;14,86768818
Padre Las Casas;9;26,9;382037,5313;14,60000038;5,369070053;7,656899929;2,189905882;28,52010345;12,42087269
Perquenco;9;20,4;336077,75;12,5;6,010951042;12,92879963;2,882483482;34,14634323;11,97339249
Pitrufquén;9;25;387381,0938;12,19999981;5,981378078;9,439299583;1,964912295;27,36842155;9,684210777
Pucón;9;12,2;413437,8438;11,60000038;4,694719791;8,821900368;5,208333015;20,3125;8,020833015
Saavedra;9;37,3;334556,125;12,80000019;6,560842514;9,817199707;1,857010245;34,35469055;11,04921055
Teodoro Schmidt;9;25,2;317977,4063;12,80000019;6,034473896;9,187199593;2,365184546;25,92242241;10,12298965
Toltén;9;21,2;364084,5625;12,10000038;5,481528759;12,15200043;1,658767819;26,6587677;11,25592422
Vilcún;9;26,3;354302,4688;15,60000038;5,827598095;7,190400124;2,055449247;18,92925453;10,03824139
Villarrica;9;19,9;406942,3125;14,60000038;5,216341019;9,05150032;1,689478159;29,04191589;10,37211323
Cholchol;9;30,3;310179,0938;13,10000038;5,11118269;13,24610043;0,478468895;32,29664993;13,87559795
Angol;9;19,8;424684,0938;14,80000019;5,807896614;6,884699821;2,402905703;26,15255737;12,46158123
Collipulli;9;31,5;394058,5625;17,60000038;6,044423103;9,605999947;1,717734337;23,39832878;11,28133678
Curacautín;9;20,1;415769,2813;12,19999981;6,014005661;10,68319988;1,097178698;21,3949852;9,169279099
Ercilla;9;48,8;302476,9688;14,80000019;6,04815197;8,810799599;2,510460377;25,52301216;12,97071171
